Trigger Time: 999.6875 ms
time,x,y,z
0,26,0,-36
0.3125,38,-14,-40
0.625,26,8,-28
0.9375,46,-8,-8
1.25,30,0,-30
1.5625,24,-8,-28
1.875,30,-2,-28
2.1875,30,-8,-30
2.5,40,0,-24
2.8125,28,-16,-48
3.125,30,-4,-26
3.4375,20,-6,-44
3.75,24,4,6
4.0625,50,-12,-16
4.375,28,0,-28
4.6875,24,8,-26
5,34,0,-30
5.3125,30,0,-44
5.625,14,0,-26
5.9375,28,2,-42
6.25,42,0,-30
6.5625,22,12,-14
6.875,30,0,-40
7.1875,32,-6,-4
7.5,42,-6,-32
7.8125,26,-8,-28
8.125,32,-8,-14
8.4375,30,-4,-32
8.75,32,-2,-26
9.0625,24,-8,-34
9.375,28,0,-24
9.6875,20,-12,-40
10,22,8,-44
10.3125,12,12,-20
10.625,18,8,-32
10.9375,28,0,-32
11.25,30,0,-42
11.5625,22,-16,-26
11.875,18,4,-24
12.1875,28,0,-26
12.5,28,4,-32
12.8125,14,2,-32
13.125,22,-4,-28
13.4375,26,0,-28
13.75,24,-6,-8
14.0625,32,0,-28
14.375,28,-12,-54
14.6875,42,0,-32
15,32,-6,-42
15.3125,30,0,-26
15.625,20,0,-28
15.9375,42,-8,-18
16.25,34,0,-30
16.5625,18,2,-34
16.875,38,-14,-8
17.1875,36,-6,-18
17.5,28,0,6
17.8125,36,0,-26
18.125,30,16,-30
18.4375,26,0,-8
18.75,28,0,-38
19.0625,38,0,-24
19.375,14,6,-38
19.6875,24,0,-38
20,14,14,-64
20.3125,32,-4,-32
20.625,28,0,-50
20.9375,26,2,-26
21.25,28,8,-20
21.5625,6,0,-20
21.875,28,-2,-32
22.1875,24,6,-28
22.5,22,0,-36
22.8125,36,-2,-30
23.125,44,-4,-8
23.4375,52,-12,-28
23.75,32,-10,-26
24.0625,24,0,-44
24.375,28,6,-26
24.6875,22,14,-26
25,24,0,-22
25.3125,30,0,-42
25.625,18,0,-22
25.9375,22,6,-48
26.25,30,4,-24
26.5625,40,-6,-14
26.875,32,0,0
27.1875,42,4,-40
27.5,32,6,-26
27.8125,22,0,-12
28.125,30,-2,-20
28.4375,28,-6,-32
28.75,30,-10,-42
29.0625,24,-6,-26
29.375,30,-4,-28
29.6875,48,-14,-10
30,40,-4,8
30.3125,26,-6,-26
30.625,22,0,-34
30.9375,20,0,-20
31.25,28,0,-26
31.5625,38,-12,-42
31.875,36,-4,-26
32.1875,16,6,-26
32.5,32,-10,-20
32.8125,26,20,-26
33.125,26,2,-16
33.4375,30,0,0
33.75,46,-12,-42
34.0625,30,6,-26
34.375,30,-6,-26
34.6875,14,0,-30
35,24,-8,-38
35.3125,30,-2,-32
35.625,36,-6,-30
35.9375,28,0,-36
36.25,36,-14,-30
36.5625,28,-8,-32
36.875,24,-16,0
37.1875,26,0,-18
37.5,28,0,-40
37.8125,24,-6,-42
38.125,20,-4,-26
38.4375,28,0,-28
38.75,26,0,-40
39.0625,26,-8,-36
39.375,22,6,-44
39.6875,16,0,-32
40,32,-4,-48
40.3125,50,-8,-42
40.625,24,6,-30
40.9375,24,8,-32
41.25,28,-10,-26
41.5625,32,2,-30
41.875,26,4,-38
42.1875,16,4,-20
42.5,34,-12,-22
42.8125,22,0,-32
43.125,22,6,-42
43.4375,32,0,-30
43.75,46,-8,6
44.0625,36,-4,-26
44.375,28,12,-36
44.6875,20,6,-34
45,32,-2,-26
45.3125,38,-10,-24
45.625,24,2,-32
45.9375,34,4,-8
46.25,40,-6,-32
46.5625,34,0,-28
46.875,24,0,-8
47.1875,34,0,-34
47.5,28,-8,-34
47.8125,26,-6,-32
48.125,24,0,-26
48.4375,22,0,-34
48.75,18,8,-42
49.0625,36,0,-14
49.375,34,0,-22
49.6875,18,18,-26
50,30,0,-24
50.3125,20,0,-30
50.625,30,-6,-28
50.9375,30,-18,-28
51.25,20,0,0
51.5625,22,0,-24
51.875,32,-6,-30
52.1875,26,0,-46
52.5,26,-10,-34
52.8125,38,8,-12
53.125,30,0,-64
53.4375,8,4,-26
53.75,26,-4,-36
54.0625,40,0,-28
54.375,26,0,-34
54.6875,26,-8,-28
55,18,-2,-32
55.3125,36,-14,-32
55.625,22,0,-40
55.9375,48,4,-10
56.25,34,-14,-20
56.5625,28,0,-36
56.875,28,-14,-24
57.1875,30,2,-30
57.5,28,-6,-48
57.8125,32,0,-26
58.125,22,0,-32
58.4375,16,0,-32
58.75,32,-4,-22
59.0625,22,-18,-34
59.375,32,0,-12
59.6875,28,0,-46
60,40,-6,-30
60.3125,36,-18,-20
60.625,32,-8,-18
60.9375,46,0,-18
61.25,26,0,-30
61.5625,22,-8,-30
61.875,32,0,-18
62.1875,14,8,-28
62.5,28,4,-46
62.8125,18,0,-40
63.125,42,-24,-30
63.4375,28,-6,-10
63.75,34,0,-26
64.0625,26,-16,-30
64.375,30,2,-36
64.6875,26,-4,-32
65,44,-8,-26
65.3125,22,4,-46
65.625,28,2,-32
65.9375,30,0,-24
66.25,38,-18,-30
66.5625,26,0,-20
66.875,30,4,-26
67.1875,28,-14,-26
67.5,52,-4,-30
67.8125,32,-8,-28
68.125,16,-4,-24
68.4375,30,-6,-34
68.75,28,-10,-28
69.0625,34,-6,-14
69.375,20,0,-32
69.6875,18,14,-28
70,50,-14,-12
70.3125,28,0,-26
70.625,10,-4,-26
70.9375,24,-8,-36
71.25,32,2,-32
71.5625,24,-6,-50
71.875,14,0,-24
72.1875,30,-12,-22
72.5,18,12,-28
72.8125,24,-8,-26
73.125,32,-4,-16
73.4375,18,0,-20
73.75,26,-10,-34
74.0625,38,0,-24
